Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24016,Brome--Missisquoi,42050,2061905000 ,1850 ,2520 ,3120 ,4050 ,3310 ,2790 ,2870 ,2880 ,2680 ,2300 ,2100 ,1830 ,2630 ,1930 ,1200 ,870 ,1800 ,830 ,480 ,
24,24017,Brossard--Saint-Lambert,40590,2577730000 ,3240 ,2260 ,2990 ,3010 ,2450 ,2040 ,1920 ,2130 ,1980 ,1770 ,1690 ,1470 ,2560 ,2160 ,1690 ,1330 ,3330 ,1520 ,1060 ,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,34720,1488620000 ,1570 ,1830 ,2580 ,3610 ,2740 ,2440 ,2460 ,2720 ,2460 ,2080 ,1830 ,1420 ,2140 ,1440 ,980 ,650 ,1220 ,370 ,180 ,
24,24019,Charlesbourg--Haute-Saint-Charles,41090,2048143000 ,1550 ,1750 ,2340 ,2610 ,2310 ,2260 ,2520 ,3020 ,2960 ,2650 ,2540 ,2220 ,3820 ,2850 ,1860 ,1120 ,1970 ,550 ,200 ,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,39130,1927444000 ,1420 ,1660 ,2490 ,3440 ,2570 ,2390 ,2640 ,2750 ,2850 ,2510 ,2120 ,1880 ,3040 ,2210 ,1460 ,960 ,1820 ,600 ,330 ,
24,24021,Châteauguay--Lacolle,39990,1822158000 ,2020 ,2210 ,3300 ,3470 ,2820 ,2400 ,2450 ,2640 ,2550 ,2170 ,2030 ,1850 ,2960 ,2230 ,1500 ,990 ,1740 ,440 ,230 ,
24,24022,Chicoutimi--Le Fjord,32890,1621920000 ,1430 ,1810 ,2300 ,2710 ,2110 ,1980 ,2070 ,2280 ,2180 ,2040 ,1710 ,1480 ,2290 ,1650 ,1050 ,910 ,2070 ,540 ,280 ,
24,24023,Compton--Stanstead,41630,1924918000 ,2010 ,2090 ,2940 ,3670 ,3050 ,2800 ,2740 ,3040 ,2890 ,2530 ,2230 ,1860 ,2930 ,2020 ,1390 ,900 ,1670 ,560 ,320 ,
24,24024,Dorval--Lachine--LaSalle,41560,1822701000 ,3480 ,3170 ,3780 ,3480 ,3010 ,2740 ,2670 ,2630 ,2420 ,2030 ,1740 ,1460 ,2280 ,1710 ,1230 ,890 ,1840 ,680 ,340 ,
24,24025,Drummond,40880,1775168000 ,1740 ,2580 ,3020 ,4050 ,3220 ,2850 ,2980 ,3210 ,2920 ,2560 ,2160 ,1750 ,2510 ,1720 ,1120 ,640 ,1210 ,400 ,240 ,
