Summary Statistics of TFSA by Federal Electoral Districts,,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,
24,24047,Mégantic--L'Érable,29790,572096000 ,18030 ,162241000 ,7790 ,47151000 ,,,,,,,,,,,,,,,,
24,24048,Mirabel,30680,381881000 ,18650 ,133578000 ,10770 ,52824000 ,,,,,,,,,,,,,,,,
24,24049,Montarville,36080,618051000 ,22350 ,190687000 ,10170 ,62187000 ,,,,,,,,,,,,,,,,
24,24050,Montcalm,27510,355426000 ,16680 ,120721000 ,9780 ,47503000 ,,,,,,,,,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,31310,572433000 ,18700 ,163355000 ,8450 ,48611000 ,,,,,,,,,,,,,,,,
24,24052,Mount Royal,41250,760571000 ,27210 ,220972000 ,11270 ,69150000 ,,,,,,,,,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,42810,807588000 ,27590 ,233606000 ,11020 ,70410000 ,,,,,,,,,,,,,,,,
24,24054,Outremont,33450,575676000 ,21420 ,178312000 ,9220 ,58528000 ,,,,,,,,,,,,,,,,
24,24055,Papineau,31810,411993000 ,19980 ,136004000 ,10590 ,54562000 ,,,,,,,,,,,,,,,,
24,24056,Pierrefonds--Dollard,41730,706994000 ,26600 ,211236000 ,12150 ,70780000 ,,,,,,,,,,,,,,,,
24,24057,Pontiac,32120,442556000 ,19170 ,149408000 ,10250 ,57338000 ,,,,,,,,,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,37370,619329000 ,22350 ,188955000 ,10890 ,65191000 ,,,,,,,,,,,,,,,,
24,24059,Québec,33590,618998000 ,21390 ,179966000 ,9830 ,58431000 ,,,,,,,,,,,,,,,,
24,24060,Repentigny,36420,573146000 ,22780 ,182677000 ,11880 ,64189000 ,,,,,,,,,,,,,,,,
24,24061,Richmond--Arthabaska,35670,629686000 ,22030 ,184090000 ,10260 ,59200000 ,,,,,,,,,,,,,,,,
24,24062,Rivière-des-Mille-Îles,34350,533056000 ,21200 ,169560000 ,10590 ,58328000 ,,,,,,,,,,,,,,,,
24,24063,Rivière-du-Nord,31430,460308000 ,18610 ,147373000 ,10450 ,55586000 ,,,,,,,,,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,36180,504957000 ,22510 ,167348000 ,11790 ,66029000 ,,,,,,,,,,,,,,,,
24,24065,Marc-Aurèle-Fortin,34150,498845000 ,21230 ,159887000 ,10760 ,56644000 ,,,,,,,,,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,32640,566317000 ,20170 ,168878000 ,9720 ,52990000 ,,,,,,,,,,,,,,,,
24,24067,Saint-Jean,34760,551935000 ,21140 ,167971000 ,10820 ,56330000 ,,,,,,,,,,,,,,,,
24,24068,Saint-Laurent,34440,581038000 ,21860 ,178842000 ,9660 ,62103000 ,,,,,,,,,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,32430,502808000 ,20460 ,152843000 ,9900 ,51102000 ,,,,,,,,,,,,,,,,
24,24070,Saint-Maurice--Champlain,34320,620875000 ,20660 ,177699000 ,9610 ,55181000 ,,,,,,,,,,,,,,,,
24,24071,Salaberry--Suroît,33400,540383000 ,20220 ,165261000 ,10280 ,54516000 ,,,,,,,,,,,,,,,,
24,24072,Shefford,35210,612442000 ,21470 ,178482000 ,10250 ,57288000 ,,,,,,,,,,,,,,,,
24,24073,Sherbrooke,36010,605087000 ,22760 ,177610000 ,11300 ,61612000 ,,,,,,,,,,,,,,,,
24,24074,Vaudreuil--Soulanges,39230,573950000 ,23830 ,186999000 ,12540 ,67907000 ,,,,,,,,,,,,,,,,
24,24075,Terrebonne,31330,408890000 ,19640 ,141162000 ,10910 ,53105000 ,,,,,,,,,,,,,,,,
24,24076,Trois-Rivières,36410,678324000 ,22650 ,191865000 ,10420 ,61603000 ,,,,,,,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,40010,692452000 ,25270 ,222544000 ,11230 ,78897000 ,,,,,,,,,,,,,,,,
24,24078,Vimy,36800,604265000 ,23050 ,181108000 ,11340 ,64245000 ,,,,,,,,,,,,,,,,
TOTAL,,,2634650,43356868000 ,1631440 ,13244636000 ,790350 ,4484348000 ,,,,,,,,,,,,,,,,
