Prov/Terr,FED ID,Federal Electoral Districts,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,
24,24009,Bécancour--Nicolet--Saurel,45660,1676237000 ,32190 ,664907000 ,23280 ,195881000 ,6740 ,93620000 ,32980 ,185135000 ,15350 ,96137000 ,,,,,,,,,,
24,24010,Bellechasse--Les Etchemins--Lévis,61860,2422599000 ,35720 ,808046000 ,30550 ,315144000 ,9460 ,138445000 ,35040 ,189117000 ,19390 ,120663000 ,,,,,,,,,,
24,24011,Beloeil--Chambly,65780,3077837000 ,28100 ,709933000 ,28870 ,383970000 ,9380 ,183613000 ,31020 ,168455000 ,20850 ,147081000 ,,,,,,,,,,
24,24012,Berthier--Maskinongé,50580,1735484000 ,32380 ,623799000 ,22780 ,219996000 ,7730 ,104394000 ,37880 ,222886000 ,15370 ,103670000 ,,,,,,,,,,
24,24013,Thérèse-De Blainville,55550,2736055000 ,22500 ,555321000 ,24550 ,399396000 ,7690 ,191619000 ,26310 ,133819000 ,17770 ,141054000 ,,,,,,,,,,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,57220,2911027000 ,25970 ,747258000 ,28400 ,377299000 ,8010 ,200926000 ,24500 ,126864000 ,19020 ,171456000 ,,,,,,,,,,
24,24015,Bourassa,43670,1301312000 ,23730 ,436679000 ,18890 ,117218000 ,5340 ,60762000 ,34750 ,206969000 ,11620 ,52894000 ,,,,,,,,,,
24,24016,Brome--Missisquoi,50210,1858527000 ,34690 ,813778000 ,27040 ,381377000 ,10430 ,169634000 ,31570 ,170282000 ,18420 ,143647000 ,,,,,,,,,,
24,24017,Brossard--Saint-Lambert,53350,2668204000 ,28390 ,818691000 ,33130 ,456709000 ,8950 ,249849000 ,24990 ,134914000 ,20750 ,174284000 ,,,,,,,,,,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,43730,1515036000 ,29510 ,617755000 ,19590 ,174429000 ,6780 ,93640000 ,32170 ,196922000 ,13520 ,78685000 ,,,,,,,,,,
24,24019,Charlesbourg--Haute-Saint-Charles,58460,2381047000 ,30290 ,788861000 ,24070 ,164401000 ,6590 ,104052000 ,28730 ,152686000 ,17880 ,109338000 ,,,,,,,,,,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,52360,2020523000 ,29300 ,662720000 ,23160 ,200012000 ,7000 ,116612000 ,30600 ,176572000 ,15940 ,121651000 ,,,,,,,,,,
24,24021,Châteauguay--Lacolle,53980,2063043000 ,23550 ,507288000 ,20670 ,197819000 ,6840 ,96267000 ,28670 ,157810000 ,15280 ,97524000 ,,,,,,,,,,
24,24022,Chicoutimi--Le Fjord,42290,1590974000 ,26580 ,625526000 ,17420 ,137596000 ,4230 ,101004000 ,27300 ,160871000 ,14090 ,104516000 ,,,,,,,,,,
24,24023,Compton--Stanstead,54440,2039421000 ,27420 ,581283000 ,24130 ,266474000 ,11270 ,148678000 ,32430 ,174531000 ,17480 ,111178000 ,,,,,,,,,,
24,24024,Dorval--Lachine--LaSalle,55430,2183350000 ,25740 ,561983000 ,27150 ,235667000 ,7090 ,113792000 ,31770 ,183424000 ,17180 ,112787000 ,,,,,,,,,,
24,24025,Drummond,52840,1848599000 ,28410 ,533591000 ,21380 ,255997000 ,6880 ,95629000 ,36550 ,198787000 ,15540 ,83742000 ,,,,,,,,,,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,39160,1184986000 ,28660 ,496522000 ,12590 ,95386000 ,4770 ,100208000 ,38680 ,319149000 ,9860 ,59118000 ,,,,,,,,,,
24,24027,Gatineau,55470,2402439000 ,27020 ,732146000 ,19000 ,167784000 ,6920 ,107098000 ,27890 ,160100000 ,16160 ,110672000 ,,,,,,,,,,
24,24028,Hochelaga,53050,1972336000 ,22770 ,502180000 ,23090 ,176121000 ,7940 ,122191000 ,31110 ,195750000 ,14450 ,81479000 ,,,,,,,,,,
24,24029,Honoré-Mercier,51730,1980909000 ,27480 ,593504000 ,26620 ,200200000 ,5940 ,87161000 ,30690 ,170711000 ,15840 ,87343000 ,,,,,,,,,,
24,24030,Hull--Aylmer,51580,2383945000 ,23540 ,694592000 ,20400 ,186722000 ,7130 ,139379000 ,25060 ,145079000 ,16250 ,119472000 ,,,,,,,,,,
24,24031,Joliette,47980,1648659000 ,34280 ,732050000 ,23110 ,235756000 ,6970 ,111944000 ,36030 ,213224000 ,15620 ,105176000 ,,,,,,,,,,
24,24032,Jonquière,49000,1838554000 ,27040 ,652794000 ,18150 ,111435000 ,4670 ,73563000 ,31090 ,192823000 ,15510 ,103201000 ,,,,,,,,,,
24,24033,La Pointe-de-l'Île,55290,2126177000 ,27400 ,602199000 ,22740 ,114722000 ,5420 ,74750000 ,32340 ,193249000 ,15530 ,88863000 ,,,,,,,,,,
24,24034,La Prairie,61100,3005445000 ,21820 ,508932000 ,23670 ,255937000 ,6830 ,141880000 ,28840 ,148820000 ,18020 ,137191000 ,,,,,,,,,,
24,24035,Lac-Saint-Jean,53480,1873640000 ,33160 ,664840000 ,21830 ,175059000 ,6830 ,95314000 ,40630 ,251972000 ,16780 ,103325000 ,,,,,,,,,,
24,24036,Lac-Saint-Louis,56570,3219621000 ,24660 ,744323000 ,35220 ,631810000 ,8660 ,236211000 ,21700 ,106015000 ,22290 ,205631000 ,,,,,,,,,,
24,24037,LaSalle--Émard--Verdun,53950,2049322000 ,23900 ,482131000 ,25100 ,156848000 ,7160 ,102595000 ,31570 ,191501000 ,14750 ,81052000 ,,,,,,,,,,
24,24038,Laurentides--Labelle,54090,1830038000 ,41350 ,934609000 ,29270 ,401787000 ,11310 ,181748000 ,38610 ,224791000 ,19110 ,152152000 ,,,,,,,,,,
24,24039,Laurier--Sainte-Marie,57500,2487276000 ,17390 ,337688000 ,23260 ,276514000 ,13200 ,252410000 ,26400 ,180754000 ,14580 ,97353000 ,,,,,,,,,,
24,24040,Laval--Les Îles,55030,2388326000 ,23010 ,490757000 ,25240 ,325563000 ,8320 ,138142000 ,29630 ,158712000 ,16620 ,109458000 ,,,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,54700,1925269000 ,25770 ,539576000 ,19640 ,103810000 ,6720 ,82384000 ,32490 ,187415000 ,14830 ,83288000 ,,,,,,,,,,
24,24042,Lévis--Lotbinière,65120,2811162000 ,26490 ,616680000 ,27770 ,259876000 ,9320 ,148487000 ,32260 ,173298000 ,19550 ,113467000 ,,,,,,,,,,
24,24043,Longueuil--Saint-Hubert,57200,2450339000 ,28850 ,712709000 ,24920 ,238756000 ,7490 ,142142000 ,30670 ,173311000 ,17510 ,127333000 ,,,,,,,,,,
24,24044,Louis-Hébert,53860,2497247000 ,33070 ,1140878000 ,33700 ,595269000 ,8550 ,310668000 ,20490 ,105379000 ,21370 ,155564000 ,,,,,,,,,,
24,24045,Louis-Saint-Laurent,66200,2883438000 ,30980 ,810234000 ,27150 ,227191000 ,7100 ,138293000 ,29600 ,157426000 ,19720 ,131446000 ,,,,,,,,,,
24,24046,Manicouagan,48750,2115332000 ,25310 ,538569000 ,15190 ,94971000 ,3900 ,67587000 ,33270 ,224469000 ,13100 ,85885000 ,,,,,,,,,,
24,24047,Mégantic--L'Érable,42730,1376109000 ,30310 ,562723000 ,22910 ,182606000 ,9110 ,92187000 ,32350 ,170233000 ,13890 ,80451000 ,,,,,,,,,,
24,24048,Mirabel,65130,2697428000 ,21680 ,448814000 ,22140 ,199889000 ,9240 ,130536000 ,34500 ,195125000 ,18450 ,119779000 ,,,,,,,,,,
24,24049,Montarville,55490,2902837000 ,23010 ,648623000 ,25810 ,323943000 ,7000 ,162670000 ,22490 ,112516000 ,17410 ,155565000 ,,,,,,,,,,
24,24050,Montcalm,57270,2198341000 ,23570 ,454729000 ,19250 ,152532000 ,7750 ,103735000 ,35390 ,211869000 ,16030 ,95283000 ,,,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,49900,1662480000 ,32540 ,621228000 ,23830 ,172927000 ,8220 ,103040000 ,35860 ,202407000 ,14560 ,78215000 ,,,,,,,,,,
24,24052,Mount Royal,46520,2330708000 ,22500 ,603798000 ,31100 ,1124435000 ,10200 ,444180000 ,24570 ,139070000 ,18510 ,175217000 ,,,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,48880,3060187000 ,21820 ,695789000 ,33210 ,1555467000 ,11810 ,515083000 ,21420 ,117692000 ,20170 ,236932000 ,,,,,,,,,,
24,24054,Outremont,45470,2118730000 ,16430 ,465557000 ,24170 ,597971000 ,11620 ,375681000 ,21070 ,126319000 ,15340 ,137066000 ,,,,,,,,,,
24,24055,Papineau,53600,1779479000 ,19130 ,292350000 ,21440 ,131177000 ,9180 ,128243000 ,34370 ,209828000 ,12620 ,62030000 ,,,,,,,,,,
24,24056,Pierrefonds--Dollard,56090,2499635000 ,24200 ,572015000 ,28650 ,351144000 ,8220 ,184930000 ,25850 ,140247000 ,18960 ,136531000 ,,,,,,,,,,
24,24057,Pontiac,57490,2725383000 ,26140 ,644224000 ,21640 ,212553000 ,9870 ,157520000 ,32690 ,200000000 ,17200 ,130959000 ,,,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,63050,2777134000 ,29280 ,688777000 ,27220 ,331987000 ,9060 ,171250000 ,33320 ,188461000 ,19950 ,146976000 ,,,,,,,,,,
24,24059,Québec,48370,1847871000 ,29460 ,777567000 ,23840 ,261387000 ,7390 ,134254000 ,26260 ,155319000 ,15420 ,102596000 ,,,,,,,,,,
24,24060,Repentigny,63830,2696146000 ,30760 ,766104000 ,25360 ,233203000 ,7720 ,134393000 ,32000 ,177708000 ,20440 ,145729000 ,,,,,,,,,,
24,24061,Richmond--Arthabaska,53710,1870947000 ,32560 ,634888000 ,25540 ,247997000 ,9140 ,110192000 ,37840 ,204879000 ,17020 ,98696000 ,,,,,,,,,,
24,24062,Rivière-des-Mille-Îles,58380,2548114000 ,24770 ,583088000 ,23300 ,270979000 ,7710 ,133678000 ,28120 ,150466000 ,17840 ,139419000 ,,,,,,,,,,
24,24063,Rivière-du-Nord,57200,2124379000 ,30270 ,645922000 ,22070 ,187604000 ,8130 ,120809000 ,36390 ,211183000 ,17190 ,118811000 ,,,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,58960,2444389000 ,19140 ,369953000 ,25460 ,196891000 ,12120 ,195002000 ,29710 ,186675000 ,14790 ,86523000 ,,,,,,,,,,
24,24065,Marc-Aurèle-Fortin,57280,2602203000 ,19690 ,463990000 ,22290 ,212985000 ,6860 ,117193000 ,25620 ,134719000 ,16410 ,109247000 ,,,,,,,,,,
24,24066,Saint-Hyacinthe--Bagot,52720,1844726000 ,27930 ,546772000 ,24290 ,265109000 ,8040 ,117892000 ,33370 ,179828000 ,16410 ,92469000 ,,,,,,,,,,
24,24067,Saint-Jean,58810,2306180000 ,29480 ,636578000 ,23830 ,277615000 ,7830 ,126960000 ,34270 ,189400000 ,17370 ,102955000 ,,,,,,,,,,
24,24068,Saint-Laurent,45850,1934055000 ,19080 ,395036000 ,24760 ,347504000 ,7340 ,185518000 ,27520 ,159245000 ,14890 ,89719000 ,,,,,,,,,,
24,24069,Saint-Léonard--Saint-Michel,49570,1549780000 ,24710 ,441227000 ,25350 ,215376000 ,6460 ,83203000 ,36990 ,212763000 ,13380 ,59999000 ,,,,,,,,,,
24,24070,Saint-Maurice--Champlain,52200,1746071000 ,39310 ,829826000 ,25320 ,177320000 ,6450 ,88328000 ,41690 ,245666000 ,17200 ,117132000 ,,,,,,,,,,
24,24071,Salaberry--Suroît,57600,2066036000 ,32990 ,684716000 ,24790 ,232198000 ,8120 ,117520000 ,37350 ,215529000 ,17260 ,105328000 ,,,,,,,,,,
24,24072,Shefford,58400,2109286000 ,31020 ,630013000 ,25580 ,252761000 ,8720 ,119588000 ,35810 ,192185000 ,18020 ,128479000 ,,,,,,,,,,
24,24073,Sherbrooke,53050,1859606000 ,30880 ,702951000 ,23870 ,239264000 ,7700 ,148334000 ,35250 ,203223000 ,17680 ,106928000 ,,,,,,,,,,
24,24074,Vaudreuil--Soulanges,64230,3053339000 ,24630 ,602453000 ,27020 ,341496000 ,9180 ,164286000 ,28900 ,149848000 ,20870 ,191779000 ,,,,,,,,,,
24,24075,Terrebonne,62350,2724270000 ,22120 ,481671000 ,20950 ,225612000 ,7640 ,121170000 ,31970 ,179442000 ,17680 ,113742000 ,,,,,,,,,,
24,24076,Trois-Rivières,52750,1923061000 ,36920 ,858916000 ,26340 ,234034000 ,6200 ,108368000 ,36750 ,207954000 ,18320 ,136037000 ,,,,,,,,,,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,53860,3118832000 ,27270 ,673422000 ,32010 ,1061567000 ,11040 ,375924000 ,34510 ,254114000 ,21830 ,238464000 ,,,,,,,,,,
24,24078,Vimy,53880,1955541000 ,29570 ,673945000 ,25400 ,220441000 ,7610 ,112273000 ,32760 ,187993000 ,16590 ,98726000 ,,,,,,,,,,
TOTAL,,,4184990,170716472000 ,2118150 ,47963127000 ,1883160 ,22274014000 ,613810 ,11349141000 ,2447100 ,14163911000 ,1304100 ,9008910000 ,,,,,,,,,,
35,35001,Ajax,64110,3156931000 ,18370 ,413011000 ,25130 ,159799000 ,9370 ,137793000 ,26710 ,151079000 ,20540 ,159886000 ,,,,,,,,,,
35,35002,Algoma--Manitoulin--Kapuskasing,36480,1434913000 ,27680 ,650748000 ,18070 ,127313000 ,4910 ,53772000 ,26080 ,181012000 ,11890 ,90285000 ,,,,,,,,,,
35,35003,Aurora--Oak Ridges--Richmond Hill,59190,3540277000 ,15160 ,320259000 ,36980 ,500715000 ,13360 ,247814000 ,23890 ,121241000 ,19720 ,150721000 ,,,,,,,,,,
35,35004,Barrie--Innisfil,58700,2793161000 ,20560 ,493682000 ,22010 ,197726000 ,8960 ,145642000 ,25070 ,131980000 ,18360 ,122144000 ,,,,,,,,,,
35,35005,Barrie--Springwater--Oro-Medonte,50970,2274437000 ,22270 ,587657000 ,23510 ,303438000 ,8380 ,141292000 ,22030 ,127292000 ,16670 ,123392000 ,,,,,,,,,,
35,35006,Bay of Quinte,52710,2017545000 ,35210 ,939291000 ,27430 ,259421000 ,8110 ,117489000 ,29290 ,187061000 ,18500 ,138370000 ,,,,,,,,,,
35,35007,Beaches--East York,52620,3203472000 ,18200 ,442276000 ,27700 ,331225000 ,10690 ,285250000 ,25460 ,166054000 ,16880 ,171532000 ,,,,,,,,,,
35,35008,Brampton Centre,54820,2108586000 ,17570 ,360066000 ,18160 ,90948000 ,7480 ,87514000 ,25590 ,155530000 ,15010 ,83112000 ,,,,,,,,,,
35,35009,Brampton East,63990,2481139000 ,12830 ,121199000 ,23140 ,168340000 ,11160 ,142545000 ,31070 ,187854000 ,16800 ,70158000 ,,,,,,,,,,
35,35010,Brampton North,65210,2672806000 ,17250 ,325252000 ,23470 ,139134000 ,9450 ,115079000 ,27730 ,160524000 ,17950 ,98770000 ,,,,,,,,,,
35,35011,Brampton South,62980,2469402000 ,18420 ,351011000 ,23610 ,174362000 ,9430 ,121665000 ,28940 ,174636000 ,16880 ,95077000 ,,,,,,,,,,
35,35012,Brampton West,67940,2850718000 ,12140 ,162304000 ,21070 ,95159000 ,10120 ,114117000 ,30990 ,175859000 ,18210 ,80920000 ,,,,,,,,,,
35,35013,Brantford--Brant,65810,2728124000 ,31970 ,748917000 ,27830 ,269213000 ,8250 ,132057000 ,34000 ,208338000 ,20820 ,135373000 ,,,,,,,,,,
35,35014,Bruce--Grey--Owen Sound,50200,1939872000 ,34890 ,857914000 ,30940 ,318725000 ,12900 ,149632000 ,28200 ,159439000 ,19640 ,134761000 ,,,,,,,,,,
35,35015,Burlington,66440,3721402000 ,34190 ,1078348000 ,38510 ,728592000 ,10120 ,258407000 ,23090 ,118537000 ,25750 ,236722000 ,,,,,,,,,,
35,35016,Cambridge,61850,2838717000 ,24560 ,552333000 ,24800 ,296311000 ,7270 ,121391000 ,28670 ,164819000 ,18940 ,132497000 ,,,,,,,,,,
35,35017,Chatham-Kent--Leamington,66270,2266935000 ,33290 ,801781000 ,28560 ,312375000 ,10360 ,136111000 ,31300 ,195586000 ,20400 ,147579000 ,,,,,,,,,,
35,35018,Davenport,53800,2439199000 ,17850 ,303982000 ,25180 ,171463000 ,11840 ,199097000 ,27050 ,179114000 ,14670 ,73145000 ,,,,,,,,,,
35,35019,Don Valley East,44360,2261857000 ,19060 ,489658000 ,23050 ,347045000 ,8380 ,145735000 ,22380 ,153507000 ,14560 ,114282000 ,,,,,,,,,,
35,35020,Don Valley North,52790,2372892000 ,21980 ,567221000 ,36260 ,533113000 ,11430 ,194346000 ,22560 ,140295000 ,18650 ,132423000 ,,,,,,,,,,
35,35021,Don Valley West,47380,4950956000 ,18110 ,630971000 ,38010 ,2192114000 ,12060 ,607729000 ,18090 ,103283000 ,21170 ,333649000 ,,,,,,,,,,
35,35022,Dufferin--Caledon,71130,3746587000 ,24770 ,624860000 ,33580 ,516138000 ,12350 ,191169000 ,27760 ,141904000 ,23250 ,193454000 ,,,,,,,,,,
35,35023,Durham,70850,3528698000 ,27610 ,777067000 ,29840 ,275859000 ,10510 ,159159000 ,28140 ,146539000 ,26280 ,247666000 ,,,,,,,,,,
35,35024,Eglinton--Lawrence,55650,4291085000 ,21200 ,588303000 ,38520 ,1568130000 ,13110 ,673051000 ,23110 ,135197000 ,22270 ,263475000 ,,,,,,,,,,
35,35025,Elgin--Middlesex--London,58020,2472874000 ,29980 ,740210000 ,28330 ,318127000 ,11030 ,159130000 ,28330 ,162735000 ,21750 ,150320000 ,,,,,,,,,,
35,35026,Essex,68320,3324969000 ,32340 ,906060000 ,32970 ,385870000 ,9280 ,166108000 ,28430 ,161854000 ,27350 ,175395000 ,,,,,,,,,,
35,35027,Etobicoke Centre,58370,3482552000 ,29290 ,865010000 ,40050 ,845192000 ,11550 ,314805000 ,23910 ,139458000 ,22960 ,237578000 ,,,,,,,,,,
35,35028,Etobicoke--Lakeshore,65060,4034260000 ,25370 ,680813000 ,37830 ,683556000 ,12760 ,343607000 ,26110 ,169109000 ,22400 ,214051000 ,,,,,,,,,,
35,35029,Etobicoke North,56990,1920431000 ,19550 ,347658000 ,19960 ,120566000 ,8700 ,91187000 ,33290 ,242119000 ,14340 ,65780000 ,,,,,,,,,,
35,35030,Flamborough--Glanbrook,57350,2948749000 ,22690 ,629380000 ,27560 ,358514000 ,8970 ,159314000 ,22020 ,119130000 ,19020 ,149139000 ,,,,,,,,,,
35,35031,Glengarry--Prescott--Russell,58540,2683575000 ,30980 ,796864000 ,26060 ,292479000 ,10280 ,152992000 ,29400 ,171886000 ,18170 ,138842000 ,,,,,,,,,,
35,35032,Guelph,72460,3484113000 ,26560 ,734550000 ,34180 ,405959000 ,9560 ,167274000 ,27510 ,150817000 ,23550 ,158255000 ,,,,,,,,,,
35,35033,Haldimand--Norfolk,55380,2208251000 ,33360 ,824854000 ,28140 ,264963000 ,10190 ,129740000 ,27820 ,159529000 ,19940 ,146621000 ,,,,,,,,,,
35,35034,Haliburton--Kawartha Lakes--Brock,53150,2075194000 ,39330 ,1031817000 ,30880 ,284424000 ,11850 ,135123000 ,28460 ,162661000 ,22460 ,189660000 ,,,,,,,,,,
