Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,,,,,,,
48,48016,Edmonton Manning,90560,4544793000 ,3790 ,8470 ,10320 ,10100 ,8880 ,7570 ,7350 ,7880 ,7470 ,6060 ,4700 ,2930 ,5040 ,,,,,,,
48,48017,Edmonton Mill Woods,90270,4273399000 ,3730 ,8240 ,10480 ,10820 ,9490 ,8170 ,6890 ,7120 ,6990 ,6190 ,4830 ,2820 ,4490 ,,,,,,,
48,48018,Edmonton Riverbend,92790,7488838000 ,3660 ,7870 ,8890 ,9510 ,8760 ,8160 ,8010 ,7790 ,7280 ,6350 ,5170 ,3780 ,7560 ,,,,,,,
48,48019,Edmonton Strathcona,81260,5170096000 ,2340 ,7820 ,10890 ,9220 ,7060 ,5530 ,5470 ,6330 ,6280 ,5450 ,4110 ,2940 ,7820 ,,,,,,,
48,48020,Edmonton West,91570,5865577000 ,3620 ,7720 ,9150 ,10050 ,9310 ,8210 ,7510 ,7920 ,7740 ,6270 ,4630 ,3020 ,6420 ,,,,,,,
48,48021,Edmonton--Wetaskiwin,111670,7114750000 ,4270 ,9010 ,12990 ,14830 ,13390 ,10800 ,8840 ,8620 ,7840 ,6680 ,5220 ,3440 ,5740 ,,,,,,,
48,48022,Foothills,87650,6947565000 ,4400 ,6600 ,5800 ,6410 ,6840 ,7200 ,7370 ,8170 ,8650 ,7600 ,6570 ,4670 ,7390 ,,,,,,,
48,48023,Fort McMurray--Cold Lake,84710,7048514000 ,3120 ,7940 ,11800 ,11950 ,9630 ,8160 ,7590 ,8060 ,6710 ,4130 ,2250 ,1370 ,2000 ,,,,,,,
48,48024,Grande Prairie--Mackenzie,91890,5852702000 ,4450 ,8960 ,10670 ,11300 ,9280 ,8110 ,7090 ,8010 ,7220 ,5550 ,3860 ,2630 ,4770 ,,,,,,,
48,48025,Lakeland,87360,4893012000 ,4580 ,7080 ,7330 ,7840 ,7370 ,6900 ,6840 ,7860 ,7720 ,6630 ,5400 ,4060 ,7750 ,,,,,,,
48,48026,Lethbridge,87650,4441845000 ,4030 ,8150 ,8710 ,8310 ,7120 ,6510 ,6160 ,6940 ,7240 ,6450 ,5630 ,4100 ,8320 ,,,,,,,
48,48027,Medicine Hat--Cardston--Warner,84610,4177906000 ,4370 ,6800 ,7390 ,7650 ,7150 ,6340 ,6070 ,7080 ,7500 ,6710 ,5450 ,4000 ,8100 ,,,,,,,
48,48028,Peace River--Westlock,80420,4038064000 ,4590 ,7640 ,7860 ,7480 ,7060 ,6580 ,6440 ,7070 ,6650 ,5690 ,4440 ,3340 ,5590 ,,,,,,,
48,48029,Red Deer--Mountain View,89530,5549636000 ,3970 ,7160 ,7720 ,8010 ,7760 ,7140 ,7030 ,7990 ,8110 ,7060 ,5730 ,4070 ,7780 ,,,,,,,
48,48030,Red Deer--Lacombe,95150,5363870000 ,4280 ,8540 ,9820 ,10090 ,8690 ,7680 ,7260 ,8430 ,8380 ,6750 ,5220 ,3550 ,6470 ,,,,,,,
48,48031,St. Albert--Edmonton,91090,5965242000 ,4180 ,7580 ,8350 ,9030 ,8470 ,8180 ,7710 ,8180 ,7800 ,6510 ,5320 ,3560 ,6220 ,,,,,,,
48,48032,Sherwood Park--Fort Saskatchewan,93000,7359319000 ,4420 ,7570 ,7940 ,8260 ,7980 ,8140 ,8210 ,8830 ,8440 ,6710 ,5960 ,4100 ,6440 ,,,,,,,
48,48033,Sturgeon River--Parkland,92900,6187639000 ,4260 ,7700 ,8120 ,8880 ,8590 ,7940 ,7840 ,8980 ,8370 ,7030 ,5580 ,3820 ,5790 ,,,,,,,
48,48034,Yellowhead,76170,4397036000 ,3730 ,6190 ,6650 ,6970 ,6240 ,5960 ,6080 ,7530 ,7350 ,5970 ,4680 ,3370 ,5460 ,,,,,,,
TOTAL,,,3090900,200215325000 ,130300 ,257490 ,313030 ,329560 ,297780 ,270330 ,254270 ,270160 ,259300 ,212820 ,167010 ,113990 ,214860 ,,,,,,,
59,59001,Abbotsford,78630,3231068000 ,3430 ,6590 ,6860 ,6970 ,6080 ,5930 ,6260 ,6400 ,6410 ,5860 ,5410 ,4020 ,8420 ,,,,,,,
59,59002,Burnaby North--Seymour,82630,4233544000 ,3070 ,7400 ,6860 ,6550 ,6310 ,6770 ,7270 ,7750 ,7340 ,6250 ,5330 ,3740 ,7980 ,,,,,,,
59,59003,Burnaby South,93060,3755893000 ,2800 ,8120 ,9870 ,9000 ,7720 ,7360 ,7870 ,8450 ,7690 ,6800 ,5580 ,3880 ,7930 ,,,,,,,
59,59004,Cariboo--Prince George,84790,3800584000 ,3750 ,7090 ,7160 ,6830 ,6280 ,6450 ,6820 ,7880 ,8180 ,7310 ,6180 ,4260 ,6590 ,,,,,,,
59,59005,Central Okanagan--Similkameen--Nicola,92090,4104498000 ,2920 ,5630 ,6060 ,6150 ,5480 ,5580 ,5990 ,7620 ,8990 ,8790 ,8740 ,6650 ,13500 ,,,,,,,
59,59006,Chilliwack--Hope,78560,3228615000 ,3360 ,5870 ,5600 ,5910 ,5450 ,5760 ,6090 ,7000 ,6880 ,6500 ,6240 ,4950 ,8960 ,,,,,,,
59,59007,Cloverdale--Langley City,86690,4021025000 ,3410 ,6470 ,7590 ,9240 ,9020 ,8340 ,7850 ,7470 ,6760 ,5980 ,5070 ,3560 ,5940 ,,,,,,,
59,59008,Coquitlam--Port Coquitlam,96570,4313689000 ,3840 ,7920 ,7560 ,8180 ,8280 ,8850 ,9810 ,10160 ,9140 ,7180 ,5510 ,3640 ,6510 ,,,,,,,
59,59009,Courtenay--Alberni,97020,4123007000 ,2750 ,5190 ,5150 ,5550 ,5550 ,5500 ,5930 ,7950 ,9350 ,10590 ,10940 ,8380 ,14200 ,,,,,,,
59,59010,Cowichan--Malahat--Langford,86800,3855599000 ,2830 ,5640 ,6070 ,6640 ,6390 ,6320 ,6670 ,8160 ,8520 ,8190 ,7580 ,4960 ,8850 ,,,,,,,
59,59011,Delta,82280,4238536000 ,3440 ,6790 ,5540 ,5540 ,5580 ,6300 ,7200 ,7920 ,7910 ,6770 ,6360 ,4740 ,8190 ,,,,,,,
59,59012,Fleetwood--Port Kells,91570,3511994000 ,4290 ,8660 ,7640 ,7460 ,7530 ,8010 ,8680 ,9080 ,8150 ,6660 ,5390 ,3630 ,6390 ,,,,,,,
59,59013,Kamloops--Thompson--Cariboo,101190,4618142000 ,3650 ,7570 ,7900 ,7650 ,6720 ,6940 ,7680 ,9290 ,10000 ,9230 ,8340 ,5930 ,10290 ,,,,,,,
59,59014,Kelowna--Lake Country,96710,4910504000 ,3990 ,7770 ,7700 ,7760 ,6920 ,7050 ,7610 ,8930 ,8960 ,8020 ,7010 ,5020 ,10000 ,,,,,,,
59,59015,Kootenay--Columbia,90050,4122430000 ,3420 ,5700 ,6600 ,7160 ,7060 ,6610 ,6540 ,7840 ,8810 ,8680 ,7670 ,5200 ,8770 ,,,,,,,
59,59016,Langley--Aldergrove,90050,4640675000 ,3910 ,7070 ,6730 ,7180 ,7240 ,7550 ,7900 ,8510 ,8060 ,7000 ,6260 ,4600 ,8030 ,,,,,,,
59,59017,Mission--Matsqui--Fraser Canyon,71790,2752865000 ,3010 ,5420 ,5680 ,5970 ,5800 ,5560 ,5680 ,6610 ,6690 ,6100 ,5390 ,3700 ,6190 ,,,,,,,
59,59018,Nanaimo--Ladysmith,98200,4262285000 ,3140 ,6590 ,6750 ,6860 ,6290 ,6420 ,7060 ,8460 ,9340 ,9630 ,9130 ,6580 ,11950 ,,,,,,,
59,59019,New Westminster--Burnaby,90840,3812263000 ,2750 ,7070 ,8650 ,8890 ,8060 ,7440 ,8350 ,8660 ,7880 ,6660 ,5530 ,3740 ,7170 ,,,,,,,
59,59020,North Okanagan--Shuswap,104110,4459345000 ,3660 ,6310 ,6090 ,6510 ,6150 ,6320 ,7030 ,9360 ,10710 ,10430 ,10050 ,7590 ,13900 ,,,,,,,
59,59021,North Vancouver,92440,5512373000 ,3330 ,6420 ,6730 ,7230 ,7470 ,8110 ,8850 ,9200 ,8610 ,7070 ,6050 ,4390 ,8990 ,,,,,,,
59,59022,Pitt Meadows--Maple Ridge,77580,3713786000 ,3210 ,6060 ,5730 ,6340 ,6180 ,6410 ,7430 ,8020 ,7510 ,5910 ,4980 ,3390 ,6410 ,,,,,,,
59,59023,Port Moody--Coquitlam,87780,4358259000 ,3380 ,7330 ,7080 ,7110 ,7090 ,7700 ,8660 ,8980 ,8090 ,6600 ,5350 ,3730 ,6690 ,,,,,,,
59,59024,Prince George--Peace River--Northern Rockies,84180,4648365000 ,4030 ,7630 ,8410 ,8430 ,7150 ,6710 ,6890 ,7870 ,7750 ,6240 ,4780 ,3230 ,5060 ,,,,,,,
59,59025,Richmond Centre,83150,3224304000 ,2810 ,6590 ,7140 ,6330 ,5440 ,6270 ,7730 ,8440 ,8020 ,7040 ,6080 ,3710 ,7560 ,,,,,,,
59,59026,Esquimalt--Saanich--Sooke,86650,4049261000 ,2860 ,6120 ,6470 ,6980 ,7060 ,6750 ,7010 ,8230 ,8300 ,7770 ,6610 ,4450 ,8040 ,,,,,,,
59,59027,Saanich--Gulf Islands,87410,4686762000 ,2870 ,5790 ,4670 ,4560 ,4540 ,5140 ,5900 ,7170 ,8170 ,9010 ,9170 ,6690 ,13740 ,,,,,,,
59,59028,Skeena--Bulkley Valley,67490,2866709000 ,2970 ,5280 ,5500 ,5330 ,5030 ,5310 ,5630 ,6450 ,6800 ,6050 ,4820 ,3420 ,4910 ,,,,,,,
59,59029,South Okanagan--West Kootenay,100590,4205303000 ,3390 ,5450 ,5500 ,6070 ,5840 ,6100 ,6640 ,8530 ,10310 ,10520 ,10120 ,7490 ,14650 ,,,,,,,
59,59030,South Surrey--White Rock,82940,5017003000 ,2810 ,5200 ,4760 ,4640 ,4960 ,6190 ,6940 ,7520 ,7530 ,7610 ,7530 ,5760 ,11500 ,,,,,,,
59,59031,Steveston--Richmond East,84250,3322567000 ,2970 ,6650 ,7060 ,6790 ,6370 ,6450 ,7740 ,8570 ,7990 ,7080 ,5980 ,3760 ,6850 ,,,,,,,
59,59032,Surrey Centre,91740,2816317000 ,3650 ,8870 ,9400 ,9350 ,8400 ,7630 ,8070 ,8520 ,7720 ,6190 ,5070 ,3430 ,5460 ,,,,,,,
59,59033,Surrey--Newton,86160,2809147000 ,3850 ,7990 ,8130 ,8970 ,8450 ,7550 ,7200 ,6890 ,6510 ,5960 ,5250 ,3660 ,5760 ,,,,,,,
59,59034,Vancouver Centre,106600,7220653000 ,1430 ,6450 ,14680 ,15850 ,10780 ,7940 ,7620 ,7670 ,7380 ,7150 ,6570 ,4560 ,8530 ,,,,,,,
59,59035,Vancouver East,90540,3788774000 ,1870 ,5370 ,10270 ,11230 ,9050 ,7910 ,7750 ,7950 ,7210 ,6080 ,5190 ,3100 ,7580 ,,,,,,,
59,59036,Vancouver Granville,85420,5628922000 ,2210 ,6050 ,8960 ,9100 ,7420 ,6900 ,7890 ,7720 ,6660 ,6030 ,5590 ,3430 ,7470 ,,,,,,,
59,59037,North Island--Powell River,84580,3646723000 ,2890 ,4820 ,5000 ,5210 ,5170 ,5350 ,5970 ,7990 ,9050 ,9280 ,8560 ,5970 ,9330 ,,,,,,,
59,59038,Vancouver Kingsway,84380,3156619000 ,2770 ,6850 ,8660 ,8220 ,7350 ,7190 ,7320 ,7860 ,6920 ,5990 ,4770 ,2980 ,7490 ,,,,,,,
59,59039,Vancouver Quadra,80110,6016245000 ,3310 ,7860 ,7660 ,6570 ,5280 ,6170 ,7910 ,7440 ,5810 ,5570 ,5250 ,3690 ,7600 ,,,,,,,
59,59040,Vancouver South,82480,2983073000 ,3240 ,7150 ,7300 ,6640 ,6420 ,6610 ,7110 ,7620 ,7100 ,6170 ,5420 ,3430 ,8270 ,,,,,,,
59,59041,Victoria,103190,5535333000 ,2360 ,7490 ,9550 ,9190 ,7760 ,6850 ,7110 ,7820 ,8490 ,8940 ,8800 ,6000 ,12840 ,,,,,,,
59,59042,West Vancouver--Sunshine Coast--Sea to Sky Country,98390,6563894000 ,3440 ,6910 ,7360 ,7170 ,7010 ,7540 ,8200 ,8570 ,8630 ,8380 ,7990 ,6100 ,11090 ,,,,,,,
TOTAL,,,3721670,175766953000 ,133080 ,279160 ,304050 ,309290 ,284070 ,283840 ,305800 ,338500 ,336310 ,309280 ,277620 ,195120 ,365540 ,,,,,,,
60,60001,Yukon,28010,1511702000 ,1090 ,2030 ,2700 ,2820 ,2520 ,2400 ,2250 ,2710 ,2780 ,2450 ,1800 ,1090 ,1370 ,,,,,,,
TOTAL,,,28010,1511702000 ,1090 ,2030 ,2700 ,2820 ,2520 ,2400 ,2250 ,2710 ,2780 ,2450 ,1800 ,1090 ,1370 ,,,,,,,
61,61001,Northwest Territories,31850,1962928000 ,1740 ,3260 ,3660 ,3530 ,3160 ,2810 ,2850 ,3110 ,2660 ,1990 ,1300 ,790 ,1020 ,,,,,,,
TOTAL,,,31850,1962928000 ,1740 ,3260 ,3660 ,3530 ,3160 ,2810 ,2850 ,3110 ,2660 ,1990 ,1300 ,790 ,1020 ,,,,,,,
62,62001,Nunavut,21050,1026526000 ,1560 ,2780 ,2940 ,2560 ,2160 ,1890 ,1950 ,1660 ,1310 ,890 ,630 ,340 ,370 ,,,,,,,
TOTAL,,,21050,1026526000 ,1560 ,2780 ,2940 ,2560 ,2160 ,1890 ,1950 ,1660 ,1310 ,890 ,630 ,340 ,370 ,,,,,,,
TOTAL,,,27673550,1334273688000 ,1090650 ,2163710 ,2266890 ,2303490 ,2239050 ,2194180 ,2269400 ,2572930 ,2488040 ,2188670 ,1917030 ,1380890 ,2598610 ,,,,,,,
