Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24011,Beloeil--Chambly,47600,1933439000 ,2990 ,2830 ,4030 ,4640 ,4000 ,3350 ,3180 ,3240 ,3180 ,2630 ,2170 ,1790 ,2910 ,2430 ,1380 ,820 ,1450 ,390 ,180 ,
24,24012,Berthier--Maskinongé,42130,1200093000 ,3650 ,3840 ,5550 ,6340 ,4360 ,3280 ,2850 ,2600 ,2260 ,1680 ,1230 ,930 ,1240 ,1010 ,460 ,270 ,400 ,130 ,60 ,
24,24013,Thérèse-De Blainville,41180,1685564000 ,3200 ,2780 ,3730 ,4250 ,3430 ,2680 ,2530 ,2670 ,2620 ,2020 ,1710 ,1430 ,2200 ,1980 ,1130 ,730 ,1360 ,520 ,230 ,
24,24014,Pierre-Boucher--Les Patriotes--Verchères,41540,1824222000 ,2690 ,2420 ,3220 ,3670 ,3110 ,2730 ,2700 ,2780 ,2820 ,2290 ,1970 ,1650 ,2590 ,2200 ,1330 ,870 ,1680 ,570 ,250 ,
24,24015,Bourassa,41000,1031491000 ,5180 ,4500 ,5420 ,6480 ,4340 ,3000 ,2320 ,2120 ,1870 ,1260 ,1000 ,720 ,980 ,740 ,380 ,220 ,340 ,100 ,30 ,
24,24016,Brome--Missisquoi,43250,1475341000 ,3000 ,3350 ,4790 ,5640 ,4540 ,3520 ,3020 ,2950 ,2530 ,1860 ,1460 ,1090 ,1670 ,1300 ,710 ,470 ,870 ,350 ,120 ,
24,24017,Brossard--Saint-Lambert,45750,1924921000 ,4970 ,3160 ,3870 ,4400 ,3410 ,2680 ,2540 ,2630 ,2620 ,2190 ,1870 ,1590 ,2470 ,2170 ,1330 ,870 ,1910 ,760 ,340 ,
24,24018,Rimouski-Neigette--Témiscouata--Les Basques,36830,1187846000 ,2530 ,2690 ,4160 ,5480 ,3620 ,2890 ,2630 ,2440 ,2420 ,1720 ,1290 ,960 ,1360 ,1140 ,550 ,280 ,450 ,150 ,80 ,
24,24019,Charlesbourg--Haute-Saint-Charles,44720,1652242000 ,2260 ,2450 ,3680 ,4510 ,3990 ,3470 ,3520 ,3690 ,3690 ,2810 ,2240 ,1760 ,2540 ,1830 ,920 ,460 ,700 ,160 ,70 ,
24,24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,39150,1370646000 ,2270 ,2500 ,3770 ,4930 ,3640 ,2950 ,2850 ,2880 ,2950 ,2140 ,1660 ,1340 ,1830 ,1380 ,800 ,390 ,610 ,200 ,70 ,
24,24021,Châteauguay--Lacolle,39250,1297592000 ,3290 ,2960 ,4060 ,4490 ,3890 ,2990 ,2690 ,2900 ,2470 ,1960 ,1450 ,1170 ,1760 ,1270 ,690 ,400 ,580 ,180 ,70 ,
24,24022,Chicoutimi--Le Fjord,34310,1098567000 ,2640 ,2750 ,3890 ,5040 ,3510 ,2770 ,2320 ,2150 ,1950 ,1420 ,1070 ,890 ,1230 ,1060 ,500 ,310 ,520 ,220 ,90 ,
24,24023,Compton--Stanstead,41640,1396647000 ,3110 ,3060 ,4500 ,5080 ,3990 ,3300 ,3040 ,2970 ,2730 ,1980 ,1550 ,1170 ,1710 ,1340 ,670 ,430 ,680 ,210 ,110 ,
24,24024,Dorval--Lachine--LaSalle,46870,1568301000 ,5080 ,4060 ,5170 ,5310 ,4250 ,3250 ,2940 ,2810 ,2630 ,1960 ,1610 ,1320 ,2000 ,1560 ,860 ,510 ,1070 ,350 ,140 ,
24,24025,Drummond,41910,1241177000 ,3260 ,3660 ,5160 ,6100 ,4300 ,3360 ,2970 ,2830 ,2620 ,1760 ,1240 ,890 ,1320 ,1090 ,470 ,260 ,430 ,140 ,70 ,
24,24026,Gaspésie--Les Îles-de-la-Madeleine,34130,988280000 ,2520 ,2880 ,4370 ,5670 ,3480 ,2710 ,2350 ,2090 ,1970 ,1400 ,1040 ,710 ,940 ,870 ,450 ,240 ,310 ,110 ,40 ,
24,24027,Gatineau,44200,1702871000 ,2870 ,3110 ,4110 ,4290 ,3600 ,2790 ,2640 ,2770 ,2810 ,2290 ,2030 ,2090 ,3030 ,2040 ,1420 ,840 ,1180 ,250 ,50 ,
24,24028,Hochelaga,42670,1394432000 ,4010 ,3770 ,4740 ,5330 ,3830 ,2860 ,2690 ,2660 ,2410 ,1880 ,1550 ,1300 ,1870 ,1290 ,840 ,460 ,830 ,260 ,80 ,
