Summary Statistics of CCB Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of CCB Recipients,,1 Child,,2 Children,,3 Children,,4 Children,,5 or more Children,,Previously Dependent Children,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,
24,24039,Laurier--Sainte-Marie,7000,38947000 ,3810 ,14285000 ,2280 ,15682000 ,510 ,5795000 ,100 ,1985000 ,20 ,587000 ,280 ,613000 ,,,,,,,,
24,24040,Laval--Les Îles,12510,78801000 ,4770 ,17362000 ,5200 ,34798000 ,1620 ,18530000 ,310 ,5599000 ,60 ,1382000 ,550 ,1128000 ,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,11980,82080000 ,5370 ,22630000 ,4370 ,34428000 ,1290 ,16272000 ,310 ,5627000 ,70 ,1844000 ,580 ,1279000 ,,,,,,,,
24,24042,Lévis--Lotbinière,13960,72667000 ,4900 ,14824000 ,6180 ,33830000 ,1860 ,16630000 ,370 ,5014000 ,60 ,1429000 ,600 ,940000 ,,,,,,,,
24,24043,Longueuil--Saint-Hubert,11390,70531000 ,4950 ,18821000 ,4350 ,30018000 ,1190 ,13702000 ,290 ,5005000 ,70 ,1843000 ,550 ,1141000 ,,,,,,,,
24,24044,Louis-Hébert,7840,41236000 ,3070 ,10483000 ,3260 ,18386000 ,910 ,8311000 ,170 ,2435000 ,40 ,891000 ,390 ,731000 ,,,,,,,,
24,24045,Louis-Saint-Laurent,13460,68198000 ,5470 ,17687000 ,5640 ,31525000 ,1400 ,12681000 ,290 ,3916000 ,70 ,1288000 ,600 ,1101000 ,,,,,,,,
24,24046,Manicouagan,10090,60345000 ,4360 ,16025000 ,3620 ,23296000 ,1150 ,12260000 ,290 ,4676000 ,110 ,2930000 ,550 ,1158000 ,,,,,,,,
24,24047,Mégantic--L'Érable,8440,57831000 ,2930 ,11338000 ,3310 ,23336000 ,1290 ,14250000 ,380 ,6158000 ,70 ,1752000 ,470 ,997000 ,,,,,,,,
24,24048,Mirabel,16170,92990000 ,6020 ,20724000 ,6960 ,42638000 ,1890 ,19071000 ,470 ,6935000 ,100 ,2275000 ,740 ,1347000 ,,,,,,,,
24,24049,Montarville,10800,49299000 ,4030 ,11759000 ,4670 ,22919000 ,1320 ,10320000 ,230 ,2640000 ,40 ,876000 ,520 ,785000 ,,,,,,,,
24,24050,Montcalm,13770,85847000 ,5430 ,20332000 ,5550 ,37306000 ,1580 ,17085000 ,420 ,6541000 ,120 ,3231000 ,660 ,1352000 ,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,9250,58417000 ,3550 ,13135000 ,3590 ,24343000 ,1260 ,13115000 ,330 ,5204000 ,70 ,1748000 ,450 ,871000 ,,,,,,,,
24,24052,Mount Royal,10570,80458000 ,4660 ,20907000 ,3700 ,30986000 ,1210 ,15236000 ,350 ,6137000 ,210 ,6054000 ,440 ,1138000 ,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,8950,57079000 ,4240 ,17871000 ,3300 ,24771000 ,820 ,9901000 ,150 ,2636000 ,30 ,805000 ,420 ,1095000 ,,,,,,,,
24,24054,Outremont,8480,74928000 ,3750 ,15845000 ,2720 ,22256000 ,840 ,11339000 ,320 ,6533000 ,520 ,18074000 ,340 ,881000 ,,,,,,,,
24,24055,Papineau,11680,87915000 ,5470 ,24657000 ,4130 ,35300000 ,1280 ,18245000 ,310 ,6272000 ,80 ,2328000 ,420 ,1112000 ,,,,,,,,
24,24056,Pierrefonds--Dollard,11390,74874000 ,4490 ,17259000 ,4450 ,31119000 ,1420 ,16433000 ,380 ,6560000 ,90 ,2476000 ,560 ,1027000 ,,,,,,,,
