Summary Statistics of GST/HST Credit Recipients and Payments by Federal Electoral Districts and Number of Dependent Children,,,Total of GST/HST Credit Recipients,,No Children,,1 Child,,2 Children,,3 or more Children,,,,,,,,,,,,,
Prov/Terr,FED ID,Federal Electoral Districts,(#),($),(#),($),(#),($),(#),($),(#),($),,,,,,,,,,,,
24,24034,La Prairie,28540,11265000 ,26200 ,9546000 ,1210 ,815000 ,740 ,553000 ,380 ,351000 ,,,,,,,,,,,,
24,24035,Lac-Saint-Jean,35520,14144000 ,32960 ,12311000 ,1270 ,849000 ,800 ,570000 ,500 ,415000 ,,,,,,,,,,,,
24,24036,Lac-Saint-Louis,28280,10812000 ,26050 ,9183000 ,930 ,607000 ,890 ,660000 ,410 ,363000 ,,,,,,,,,,,,
24,24037,LaSalle--Émard--Verdun,42950,17401000 ,39280 ,14664000 ,1830 ,1251000 ,1250 ,948000 ,580 ,539000 ,,,,,,,,,,,,
24,24038,Laurentides--Labelle,40920,16534000 ,38050 ,14490000 ,1520 ,991000 ,880 ,637000 ,470 ,417000 ,,,,,,,,,,,,
24,24039,Laurier--Sainte-Marie,44120,16841000 ,42270 ,15456000 ,1000 ,671000 ,560 ,434000 ,290 ,280000 ,,,,,,,,,,,,
24,24040,Laval--Les Îles,32720,13398000 ,29070 ,10699000 ,1500 ,986000 ,1320 ,978000 ,830 ,735000 ,,,,,,,,,,,,
24,24041,Longueuil--Charles-LeMoyne,40520,16565000 ,36580 ,13642000 ,1900 ,1282000 ,1320 ,980000 ,720 ,661000 ,,,,,,,,,,,,
24,24042,Lévis--Lotbinière,27750,10538000 ,25950 ,9322000 ,950 ,593000 ,500 ,333000 ,360 ,290000 ,,,,,,,,,,,,
24,24043,Longueuil--Saint-Hubert,36170,14374000 ,33140 ,12106000 ,1460 ,991000 ,960 ,718000 ,610 ,559000 ,,,,,,,,,,,,
24,24044,Louis-Hébert,30800,11384000 ,29210 ,10260000 ,780 ,493000 ,520 ,373000 ,300 ,258000 ,,,,,,,,,,,,
24,24045,Louis-Saint-Laurent,30710,11673000 ,28760 ,10360000 ,1120 ,700000 ,520 ,366000 ,300 ,248000 ,,,,,,,,,,,,
24,24046,Manicouagan,28210,11579000 ,25820 ,9686000 ,1240 ,893000 ,670 ,526000 ,470 ,473000 ,,,,,,,,,,,,
24,24047,Mégantic--L'Érable,31740,12843000 ,29380 ,11171000 ,1090 ,696000 ,720 ,509000 ,550 ,467000 ,,,,,,,,,,,,
24,24048,Mirabel,29750,11899000 ,26820 ,9856000 ,1450 ,945000 ,930 ,645000 ,550 ,453000 ,,,,,,,,,,,,
24,24049,Montarville,22300,8277000 ,21050 ,7436000 ,710 ,438000 ,340 ,240000 ,190 ,163000 ,,,,,,,,,,,,
24,24050,Montcalm,32390,13202000 ,29210 ,10906000 ,1640 ,1086000 ,920 ,659000 ,620 ,550000 ,,,,,,,,,,,,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,33850,13435000 ,31770 ,11972000 ,1010 ,659000 ,600 ,411000 ,470 ,393000 ,,,,,,,,,,,,
24,24052,Mount Royal,35250,14911000 ,30420 ,11244000 ,2150 ,1441000 ,1730 ,1316000 ,960 ,910000 ,,,,,,,,,,,,
24,24053,Notre-Dame-de-Grâce--Westmount,34050,13762000 ,30640 ,11210000 ,1720 ,1167000 ,1230 ,956000 ,460 ,430000 ,,,,,,,,,,,,
24,24054,Outremont,35630,14887000 ,31700 ,11632000 ,1550 ,1038000 ,1210 ,937000 ,1160 ,1281000 ,,,,,,,,,,,,
24,24055,Papineau,47480,19923000 ,42180 ,15884000 ,2360 ,1585000 ,1820 ,1407000 ,1110 ,1048000 ,,,,,,,,,,,,
24,24056,Pierrefonds--Dollard,33920,13684000 ,30340 ,10984000 ,1430 ,950000 ,1290 ,953000 ,870 ,796000 ,,,,,,,,,,,,
24,24057,Pontiac,29420,12029000 ,26650 ,9958000 ,1360 ,921000 ,860 ,643000 ,550 ,507000 ,,,,,,,,,,,,
24,24058,Portneuf--Jacques-Cartier,28050,10777000 ,26190 ,9538000 ,950 ,585000 ,580 ,393000 ,330 ,261000 ,,,,,,,,,,,,
24,24059,Québec,37940,14543000 ,36060 ,13192000 ,1000 ,649000 ,550 ,402000 ,320 ,300000 ,,,,,,,,,,,,
24,24060,Repentigny,32790,12768000 ,30310 ,10994000 ,1310 ,858000 ,720 ,524000 ,450 ,392000 ,,,,,,,,,,,,
24,24061,Richmond--Arthabaska,37230,15103000 ,34140 ,12874000 ,1420 ,938000 ,980 ,704000 ,680 ,588000 ,,,,,,,,,,,,
24,24062,Rivière-des-Mille-Îles,30130,11949000 ,27670 ,10047000 ,1190 ,786000 ,650 ,464000 ,630 ,652000 ,,,,,,,,,,,,
24,24063,Rivière-du-Nord,38030,15263000 ,34990 ,13086000 ,1630 ,1081000 ,880 ,643000 ,530 ,452000 ,,,,,,,,,,,,
24,24064,Rosemont--La Petite-Patrie,42510,16659000 ,39880 ,14760000 ,1390 ,908000 ,870 ,643000 ,370 ,347000 ,,,,,,,,,,,,
